,Transaction_date,Transaction_ID,Gender,Age,Marital_status,State_names,Segment,Employees_status,Payment_method,Referal,Amount_spent
40,1/17/2019,151240,Female,21.0,Married,Kentucky,Basic,workers,Card,0.0,2734.15
41,1/17/2019,151241,Female,46.0,Married,New Mexico,Silver,workers,PayPal,1.0,2851.83
42,1/17/2019,151242,Female,16.0,Single,Texas,Gold,self-employed,PayPal,1.0,938.16
43,1/18/2019,151243,Female,63.0,Married,Maine,Gold,workers,PayPal,1.0,281.92
44,1/19/2019,151244,Male,75.0,Single,Massachusetts,Basic,Employees,PayPal,1.0,747.68
45,1/20/2019,151245,Male,70.0,Married,Wyoming,Basic,Unemployment,Card,1.0,1784.15
46,1/20/2019,151246,Male,41.0,Single,Kentucky,Missing,Employees,PayPal,1.0,1115.9
47,1/21/2019,151247,Male,33.0,Married,Florida,Silver,Employees,Other,0.0,1902.47
48,1/21/2019,151248,Female,64.0,Single,Massachusetts,Platinum,self-employed,Card,1.0,1949.92
49,1/22/2019,151249,Female,73.0,Married,Iowa,Basic,Unemployment,Card,0.0,
50,1/22/2019,151250,Female,16.0,Married,Maryland,Silver,Employees,PayPal,1.0,583.72
51,1/22/2019,151251,Male,56.0,Single,Louisiana,Basic,self-employed,Card,0.0,2445.03
52,1/22/2019,151252,Male,35.0,Married,North Carolina,Basic,Unemployment,PayPal,1.0,1107.96
53,1/23/2019,151253,Male,51.0,Single,Kentucky,Basic,self-employed,PayPal,1.0,1312.78
54,1/23/2019,151254,Male,15.0,Married,Illinois,Basic,Employees,Card,1.0,2690.18
55,1/24/2019,151255,Male,26.0,Single,Rhode Island,Basic,workers,PayPal,1.0,2603.22
56,1/25/2019,151256,Female,67.0,Single,Iowa,Gold,Employees,PayPal,1.0,611.7
57,1/25/2019,151257,Male,71.0,Single,Massachusetts,Gold,Employees,PayPal,1.0,2569.67
58,1/25/2019,151258,Female,32.0,Single,South Carolina,Basic,Employees,Other,,676.7
59,1/25/2019,151259,Male,73.0,Married,West Virginia,Basic,Employees,PayPal,0.0,1397.09
60,1/26/2019,151260,Male,55.0,Married,Kansas,Basic,Employees,Other,1.0,1277.64
61,1/26/2019,151261,Female,72.0,Married,Iowa,Silver,Unemployment,PayPal,,515.77
62,1/26/2019,151262,Male,15.0,Married,South Carolina,Basic,self-employed,Other,1.0,790.1
63,1/27/2019,151263,Female,63.0,Single,Texas,Gold,Employees,Card,1.0,1218.56
64,1/25/2019,151259,Male,73.0,Married,West Virginia,Basic,Employees,PayPal,0.0,1397.09
65,1/26/2019,151260,Male,55.0,Married,Kansas,Basic,Employees,Other,1.0,1277.64
66,1/26/2019,151261,Female,72.0,Married,Iowa,Silver,Unemployment,PayPal,,515.77
67,1/26/2019,151262,Male,15.0,Married,South Carolina,Basic,self-employed,Other,1.0,790.1
68,1/27/2019,151263,Female,63.0,Single,Texas,Gold,Employees,Card,1.0,1218.56
69,1/27/2019,151264,Male,52.0,Married,Tennessee,Basic,self-employed,PayPal,1.0,2850.48
70,1/27/2019,151265,Female,30.0,Single,California,Silver,workers,Card,0.0,1947.2
71,1/29/2019,151266,Male,24.0,Married,Colorado,Platinum,workers,PayPal,0.0,1731.54
72,1/29/2019,151267,,37.0,Single,Ohio,Basic,Unemployment,Other,1.0,52.08
73,1/29/2019,151268,Male,53.0,Married,Maine,Silver,Employees,Card,0.0,
74,1/29/2019,151269,Male,21.0,Married,Montana,Basic,Employees,PayPal,,340.38
75,1/29/2019,151270,Male,24.0,Married,Oregon,Silver,workers,Other,1.0,1663.72
76,1/30/2019,151271,,48.0,Married,North Dakota,Basic,Unemployment,Card,1.0,828.41
77,1/30/2019,151272,Female,69.0,Single,Texas,Missing,workers,Card,,489.47
78,1/30/2019,151273,Female,73.0,Married,Alaska,Platinum,self-employed,PayPal,0.0,1364.31
79,1/30/2019,151274,Male,50.0,Single,Oklahoma,Missing,Employees,Card,1.0,2943.46
80,1/30/2019,151275,Male,28.0,Single,Connecticut,Basic,Unemployment,Card,1.0,2768.15
81,1/31/2019,151276,Female,49.0,Married,Vermont,Basic,workers,PayPal,1.0,2439.65
82,1/31/2019,151277,Female,70.0,Married,Ohio,Silver,workers,Other,1.0,574.1
83,2/1/2019,151278,Female,61.0,Single,Oklahoma,Basic,self-employed,Card,0.0,206.79
84,2/2/2019,151279,Female,21.0,Married,Oregon,Basic,self-employed,Other,0.0,
85,2/2/2019,151280,Male,34.0,Single,Illinois,Silver,workers,PayPal,1.0,1933.66
86,2/2/2019,151281,Female,58.0,Married,Nevada,Gold,workers,Card,0.0,2640.72
87,2/2/2019,151282,Male,70.0,Single,New Jersey,Basic,workers,PayPal,0.0,2969.24
88,2/2/2019,151283,Female,48.0,Married,Louisiana,Silver,Employees,Other,0.0,1144.28
89,2/3/2019,151284,Female,43.0,Married,Massachusetts,Platinum,self-employed,Other,1.0,
90,2/3/2019,151285,Female,51.0,Married,Indiana,Platinum,workers,PayPal,1.0,2722.37
91,2/3/2019,151286,Male,45.0,Single,New York,Basic,Employees,Other,0.0,2823.89
92,2/4/2019,151287,Female,45.0,Single,New York,Silver,workers,PayPal,0.0,1955.43
93,2/4/2019,151288,Male,60.0,Married,Rhode Island,Silver,Employees,Card,1.0,841.26
94,2/5/2019,151289,Female,41.0,Single,Florida,Basic,self-employed,Card,1.0,
95,2/5/2019,151290,Female,51.0,Single,Arkansas,Platinum,workers,Card,1.0,2547.96
96,2/5/2019,151291,Female,15.0,Single,Virginia,Basic,Unemployment,Card,1.0,2922.97
97,2/5/2019,151292,Male,55.0,Married,Michigan,Basic,Employees,PayPal,0.0,803.5
98,2/6/2019,151293,Male,75.0,Married,Maryland,Basic,Employees,Card,1.0,1612.63
99,2/6/2019,151294,Female,77.0,Single,Nebraska,Platinum,Employees,PayPal,1.0,1608.27
100,2/6/2019,151295,Female,22.0,Married,Kansas,Missing,workers,Card,0.0,2061.14
101,2/6/2019,151296,Female,33.0,Married,Virginia,Platinum,Employees,PayPal,0.0,2989.33
102,2/6/2019,151297,Male,60.0,Married,Utah,Silver,Unemployment,Other,1.0,433.2
103,2/7/2019,151298,Female,45.0,Married,Missouri,Platinum,workers,Other,1.0,929.89
104,2/8/2019,151299,Male,33.0,Single,Arizona,Silver,workers,PayPal,0.0,2560.26
105,2/8/2019,151300,Male,24.0,Married,South Carolina,Basic,Unemployment,Other,0.0,
106,2/8/2019,151301,Female,53.0,Single,Colorado,Basic,self-employed,Other,1.0,1888.69
107,2/8/2019,151302,Female,70.0,Married,New Hampshire,Missing,Employees,Card,1.0,685.49
108,2/8/2019,151303,Male,16.0,Married,Nebraska,Basic,workers,PayPal,1.0,1264.73
109,2/6/2019,151297,Male,60.0,Married,Utah,Silver,Unemployment,Other,1.0,433.2
110,2/7/2019,151298,Female,45.0,Married,Missouri,Platinum,workers,Other,1.0,929.89
111,2/8/2019,151299,Male,33.0,Single,Arizona,Silver,workers,PayPal,0.0,2560.26
112,2/8/2019,151300,Male,24.0,Married,South Carolina,Basic,Unemployment,Other,0.0,
113,2/8/2019,151301,Female,53.0,Single,Colorado,Basic,self-employed,Other,1.0,1888.69
114,2/8/2019,151302,Female,70.0,Married,New Hampshire,Missing,Employees,Card,1.0,685.49
115,2/8/2019,151303,Male,16.0,Married,Nebraska,Basic,workers,PayPal,1.0,1264.73
116,2/10/2019,151304,Male,50.0,Married,Montana,Basic,workers,Card,1.0,
117,2/10/2019,151305,Female,25.0,Married,Wyoming,Silver,workers,Other,1.0,309.82
118,2/10/2019,151306,Female,76.0,Single,Ohio,Basic,self-employed,PayPal,1.0,1331.62
119,2/11/2019,151307,Female,43.0,Married,Wyoming,Basic,Employees,Card,1.0,914.94
120,2/11/2019,151308,Female,32.0,Single,Oregon,Basic,workers,PayPal,1.0,2922.53
121,2/11/2019,151309,Male,43.0,Married,Tennessee,Silver,self-employed,PayPal,0.0,2434.81
122,2/12/2019,151310,Female,19.0,Single,Louisiana,Platinum,workers,Card,0.0,1711.6
123,2/12/2019,151311,Female,41.0,Married,Utah,Basic,self-employed,Other,0.0,1178.02
124,2/12/2019,151312,Male,32.0,Married,Florida,Silver,Employees,PayPal,1.0,15.37
125,2/12/2019,151313,Male,76.0,Single,Michigan,Silver,Unemployment,PayPal,1.0,764.34
126,2/12/2019,151314,Female,55.0,Married,Kansas,Platinum,Employees,PayPal,1.0,329.18
127,2/13/2019,151315,Female,72.0,Single,South Dakota,Basic,Unemployment,Other,0.0,1380.0
128,2/13/2019,151316,Male,56.0,Single,Virginia,Platinum,self-employed,PayPal,1.0,46.72
129,2/13/2019,151317,Male,74.0,Single,Connecticut,Basic,workers,Other,1.0,560.13
130,2/13/2019,151318,Female,34.0,Married,Kentucky,Platinum,workers,Other,1.0,
131,2/13/2019,151319,Female,54.0,Married,Georgia,Basic,Unemployment,Other,,1034.15
132,2/14/2019,151320,Female,31.0,Married,Washington,Missing,self-employed,Card,1.0,2508.55
133,2/14/2019,151321,Female,69.0,Single,Montana,Basic,self-employed,PayPal,1.0,2906.08
134,2/15/2019,151322,Male,52.0,Single,Michigan,Gold,Unemployment,PayPal,1.0,1093.33
135,2/15/2019,151323,Female,15.0,Married,Alaska,Basic,self-employed,Other,0.0,1408.1
136,2/16/2019,151324,Male,74.0,Single,Wisconsin,Basic,workers,Card,0.0,490.37
137,2/16/2019,151325,Female,68.0,Single,Rhode Island,Basic,Employees,PayPal,1.0,
138,2/17/2019,151326,Male,24.0,Married,Louisiana,Missing,Employees,Other,0.0,1204.03
139,2/17/2019,151327,Female,77.0,Single,Kansas,Platinum,self-employed,PayPal,0.0,200.58
140,2/18/2019,151328,Female,16.0,Married,Georgia,Basic,workers,PayPal,0.0,1253.32
141,2/19/2019,151329,Female,33.0,Single,Kentucky,Basic,Employees,Card,0.0,1486.32
142,2/19/2019,151330,Male,26.0,Married,Idaho,Basic,Unemployment,PayPal,0.0,1461.49
143,2/20/2019,151331,Male,28.0,Single,West Virginia,Platinum,workers,Card,1.0,1893.16
144,2/20/2019,151332,Female,49.0,Married,Nebraska,Basic,Employees,PayPal,1.0,1321.7
145,2/20/2019,151333,Male,52.0,Married,New Mexico,Basic,workers,Other,0.0,861.26
146,2/21/2019,151334,Male,18.0,Single,Alabama,Silver,Employees,Other,0.0,459.47
147,2/21/2019,151335,Male,71.0,Single,Oregon,Basic,workers,PayPal,0.0,685.01
148,2/21/2019,151336,Male,22.0,Married,New Mexico,Gold,workers,PayPal,0.0,1862.93
149,2/21/2019,151337,Female,54.0,Married,Michigan,Basic,Unemployment,PayPal,1.0,2831.72
150,2/21/2019,151338,Female,77.0,Married,Montana,Basic,workers,Other,1.0,875.44
151,2/21/2019,151339,Male,59.0,Married,Ohio,Basic,Employees,Other,1.0,435.79
152,2/22/2019,151340,Male,61.0,Married,California,Basic,self-employed,PayPal,1.0,670.59
153,2/23/2019,151341,Female,45.0,Married,Montana,Basic,Employees,PayPal,0.0,2497.39
154,2/23/2019,151342,Male,39.0,Married,Pennsylvania,Silver,workers,Other,1.0,93.11
155,2/24/2019,151343,Male,16.0,Married,Oklahoma,Gold,Employees,Card,1.0,2497.12
156,2/25/2019,151344,Female,28.0,Single,North Dakota,Silver,Employees,Card,1.0,1733.65
157,2/26/2019,151345,Male,25.0,Married,West Virginia,Basic,Employees,PayPal,1.0,2746.61
158,2/26/2019,151346,Female,42.0,Married,Arkansas,Silver,Employees,Card,1.0,2789.59
159,2/26/2019,151347,Female,28.0,Married,California,Basic,Employees,PayPal,1.0,1287.31
160,2/27/2019,151348,Male,63.0,Married,Arizona,Gold,Employees,PayPal,1.0,1747.91
161,2/28/2019,151349,Male,46.0,Single,Rhode Island,Platinum,workers,PayPal,,214.92
162,2/28/2019,151350,Female,78.0,Single,Michigan,Basic,Employees,PayPal,0.0,2555.05
163,3/1/2019,151351,Female,75.0,Married,Oklahoma,Basic,self-employed,Other,1.0,1319.12
164,3/1/2019,151352,Female,64.0,Married,New York,Basic,Employees,PayPal,1.0,1581.77
165,3/2/2019,151353,Female,28.0,Single,Vermont,Silver,workers,Other,1.0,2422.79
166,3/2/2019,151354,Female,42.0,Single,Illinois,Silver,Employees,Card,1.0,971.01
167,3/2/2019,151355,Female,66.0,Married,Georgia,Basic,Employees,PayPal,1.0,783.89
168,3/3/2019,151356,Female,62.0,Married,Mississippi,Silver,Unemployment,Other,1.0,503.49
169,3/3/2019,151357,Male,15.0,Married,Florida,Gold,Employees,Other,1.0,1790.9
170,3/3/2019,151358,Male,76.0,Married,Georgia,Missing,workers,Other,1.0,1832.59
171,3/4/2019,151359,Female,53.0,Married,Nevada,Platinum,self-employed,PayPal,0.0,71.73
172,3/4/2019,151360,Male,39.0,Married,Idaho,Basic,Employees,PayPal,1.0,2486.94
173,3/4/2019,151361,Female,58.0,Married,North Carolina,Silver,Employees,PayPal,1.0,520.69
174,3/5/2019,151362,Female,30.0,Married,New Jersey,Gold,Employees,Card,1.0,918.51
175,3/5/2019,151363,Female,17.0,Single,West Virginia,Basic,self-employed,PayPal,1.0,1070.97
176,3/5/2019,151364,,40.0,Married,Colorado,Missing,self-employed,PayPal,1.0,1089.97
177,3/6/2019,151365,Female,20.0,Married,Georgia,Silver,self-employed,PayPal,1.0,1618.44
178,3/6/2019,151366,Male,46.0,Married,Alaska,Platinum,Unemployment,Other,1.0,2417.73
179,3/6/2019,151367,Female,36.0,Single,Iowa,Basic,,PayPal,1.0,677.36
180,3/7/2019,151368,Female,20.0,Married,New York,Basic,workers,PayPal,,2694.2
181,3/7/2019,151369,Female,20.0,Single,Minnesota,Basic,Employees,PayPal,0.0,922.31
182,3/7/2019,151370,Female,30.0,Married,Maryland,Platinum,workers,PayPal,1.0,350.68
183,3/7/2019,151371,Male,40.0,Married,Rhode Island,Silver,workers,Card,1.0,1152.11
184,3/7/2019,151372,Male,45.0,Single,Ohio,Basic,Employees,Other,1.0,1742.52
185,3/8/2019,151373,Female,17.0,Single,Hawaii,Silver,Employees,Card,1.0,655.42
186,3/8/2019,151374,Female,40.0,Married,Idaho,Silver,workers,Other,0.0,1977.22
187,3/9/2019,151375,Female,47.0,Married,West Virginia,Basic,workers,Other,0.0,1829.32
188,3/9/2019,151376,Male,37.0,Married,Oklahoma,Basic,Employees,Card,,782.67
189,3/9/2019,151377,Female,55.0,Single,California,Silver,self-employed,Card,1.0,
190,3/10/2019,151378,Female,25.0,Single,Wyoming,Platinum,Unemployment,Card,1.0,2740.57
191,3/10/2019,151379,,32.0,Single,Arkansas,Basic,workers,Other,1.0,215.16
192,3/10/2019,151380,Female,17.0,Married,Mississippi,Basic,Unemployment,Card,1.0,1277.84
193,3/11/2019,151381,Male,47.0,Single,Alabama,Basic,Employees,PayPal,,1500.59
194,3/12/2019,151382,Female,62.0,Married,New Mexico,Platinum,Employees,Card,0.0,103.59
195,3/12/2019,151383,Male,33.0,Married,Delaware,Basic,Employees,Other,1.0,1064.87
196,3/13/2019,151384,Female,72.0,Married,Nevada,Basic,self-employed,Other,,89.91
197,3/13/2019,151385,Male,43.0,Married,Missouri,Silver,Employees,Card,0.0,2903.96
198,3/13/2019,151386,Female,34.0,Married,Alaska,Missing,workers,Card,0.0,1493.1
199,3/14/2019,151387,Female,49.0,Married,Oklahoma,Missing,Employees,PayPal,0.0,2562.52
200,3/14/2019,151388,Male,25.0,Single,Maine,Gold,workers,Other,1.0,
201,3/14/2019,151389,Female,19.0,Married,Tennessee,Silver,workers,PayPal,,1003.62
202,3/14/2019,151390,Male,47.0,Single,Wyoming,Gold,Unemployment,Other,1.0,234.19
203,3/14/2019,151391,Female,15.0,Married,Wyoming,Basic,Employees,PayPal,1.0,2089.53
204,3/15/2019,151392,Male,66.0,Married,Massachusetts,Silver,workers,PayPal,1.0,2698.5
205,3/15/2019,151393,Female,37.0,Married,Arizona,Basic,Employees,Other,1.0,
206,3/15/2019,151394,Male,62.0,Single,Texas,Silver,Employees,Card,0.0,69.84
207,3/16/2019,151395,,67.0,Single,Illinois,Gold,Employees,Card,1.0,2562.33
208,3/16/2019,151396,Male,21.0,Single,Minnesota,Platinum,workers,PayPal,1.0,2635.13
209,3/16/2019,151397,Male,75.0,Single,Kentucky,Platinum,Unemployment,Card,1.0,
210,3/17/2019,151398,Male,17.0,Married,Nevada,Silver,Employees,Other,1.0,1092.95
211,3/17/2019,151399,Female,62.0,Married,Massachusetts,Gold,self-employed,Card,1.0,
212,3/17/2019,151400,,15.0,Single,Maine,Basic,workers,Card,1.0,1038.55
213,3/18/2019,151401,Male,64.0,Single,North Carolina,Platinum,Unemployment,Card,1.0,2590.51
214,3/19/2019,151402,Male,54.0,Single,North Dakota,Basic,Employees,Card,1.0,1659.73
215,3/20/2019,151403,Female,45.0,Single,Montana,Platinum,Employees,PayPal,1.0,968.41
216,3/20/2019,151404,Female,43.0,Married,Maine,Silver,workers,PayPal,0.0,705.68
217,3/20/2019,151405,Male,26.0,Married,Minnesota,Basic,Employees,Card,0.0,982.4
218,3/21/2019,151406,Male,17.0,Single,North Carolina,Basic,self-employed,Other,1.0,1390.46
219,3/21/2019,151407,Male,78.0,Married,Idaho,Silver,workers,Card,0.0,378.43
220,3/21/2019,151408,Female,65.0,Married,Vermont,Platinum,Employees,Card,1.0,61.35
221,3/21/2019,151409,Male,19.0,Single,Massachusetts,Basic,Unemployment,PayPal,1.0,1081.9
222,3/21/2019,151410,Male,65.0,Married,Nebraska,Basic,Employees,Card,1.0,
223,3/21/2019,151411,Female,35.0,Single,New Mexico,Basic,workers,PayPal,0.0,2878.76
224,3/22/2019,151412,Female,41.0,Married,Michigan,Silver,Employees,PayPal,1.0,225.14
225,3/22/2019,151413,Male,59.0,Single,Missouri,Platinum,workers,Other,1.0,2452.97
226,3/22/2019,151414,Female,64.0,Married,Vermont,Platinum,workers,Other,1.0,2054.68
227,3/23/2019,151415,Female,15.0,Single,New York,Basic,self-employed,PayPal,1.0,1690.62
228,3/23/2019,151416,Female,58.0,Married,Kentucky,Basic,Employees,PayPal,,931.82
229,3/23/2019,151417,Male,62.0,Married,Vermont,Basic,Employees,Card,1.0,2875.62
230,3/23/2019,151418,Male,41.0,Single,Virginia,Basic,Employees,Card,1.0,1326.62
231,3/23/2019,151419,,62.0,Married,North Carolina,Silver,Employees,PayPal,1.0,2909.85
232,3/24/2019,151420,Female,18.0,Single,Florida,Silver,workers,PayPal,1.0,2493.01
233,3/24/2019,151421,Male,63.0,Married,Indiana,Gold,self-employed,Card,1.0,414.51
234,3/25/2019,151422,Female,71.0,Married,Oklahoma,Gold,workers,PayPal,1.0,1865.09
235,3/25/2019,151423,Female,38.0,Married,Nebraska,Silver,self-employed,PayPal,0.0,
236,3/25/2019,151424,Female,51.0,Married,Oklahoma,Platinum,workers,PayPal,1.0,1165.53
237,3/25/2019,151425,Male,76.0,Single,Delaware,Basic,Employees,Card,1.0,
238,3/25/2019,151426,Female,78.0,Single,Indiana,Basic,Employees,PayPal,1.0,1264.81
239,3/26/2019,151427,Male,70.0,Married,South Dakota,Platinum,Employees,PayPal,1.0,1989.96
240,3/26/2019,151428,Female,59.0,Single,West Virginia,Basic,workers,PayPal,0.0,
241,3/27/2019,151429,Male,16.0,Married,Idaho,Basic,self-employed,PayPal,1.0,387.77
242,3/28/2019,151430,Female,18.0,Single,Illinois,Basic,Unemployment,PayPal,1.0,2589.36
243,3/29/2019,151431,Female,53.0,Single,Virginia,Platinum,workers,PayPal,0.0,1494.1
244,3/29/2019,151432,Female,47.0,Single,South Carolina,Silver,workers,Card,1.0,2779.66
245,3/29/2019,151433,Male,57.0,Married,New Jersey,Platinum,Unemployment,Other,1.0,841.23
246,3/29/2019,151434,,47.0,Married,South Dakota,Platinum,workers,Other,1.0,
247,3/29/2019,151435,Male,19.0,Married,Massachusetts,Gold,workers,Other,1.0,2694.54
248,3/29/2019,151436,Male,64.0,Single,Mississippi,Basic,Employees,Card,0.0,2432.67
249,3/29/2019,151437,Male,57.0,Single,Nevada,Basic,self-employed,PayPal,1.0,80.64
250,3/30/2019,151438,Female,67.0,Married,South Carolina,Basic,workers,PayPal,1.0,2960.41
251,3/30/2019,151439,Female,53.0,Married,New Hampshire,Basic,workers,Other,0.0,2600.69
252,3/30/2019,151440,Female,68.0,Married,Ohio,Basic,Employees,PayPal,1.0,550.44
253,3/31/2019,151441,Female,44.0,Single,Virginia,Platinum,,PayPal,,1226.06
254,3/31/2019,151442,Female,78.0,Married,New York,Missing,Employees,PayPal,,2959.54
255,3/31/2019,151443,Female,76.0,Single,Vermont,Platinum,Employees,Other,1.0,1672.01
256,3/31/2019,151444,Female,60.0,Single,New Jersey,Basic,self-employed,Card,1.0,1891.16
257,3/31/2019,151445,Female,45.0,Married,Arizona,Basic,workers,Card,1.0,1692.07
258,4/1/2019,151446,Male,54.0,Single,West Virginia,Gold,self-employed,PayPal,1.0,485.43
259,4/1/2019,151447,Female,57.0,Single,Georgia,Basic,Unemployment,PayPal,1.0,625.29
260,4/1/2019,151448,Male,48.0,Single,Wisconsin,Basic,self-employed,PayPal,1.0,1471.54
261,4/2/2019,151449,,62.0,Married,New Mexico,Gold,self-employed,PayPal,0.0,1200.69
262,4/2/2019,151450,Male,27.0,Single,California,Basic,Employees,PayPal,1.0,1929.33
263,4/2/2019,151451,Female,66.0,Married,Washington,Missing,workers,PayPal,1.0,
264,4/2/2019,151452,Male,57.0,Married,Texas,Silver,Employees,PayPal,1.0,2670.72
265,4/2/2019,151453,Female,46.0,Married,Pennsylvania,Basic,Employees,Card,1.0,
266,4/3/2019,151454,Male,34.0,Married,Texas,Basic,self-employed,Card,0.0,1901.16
267,4/4/2019,151455,Female,48.0,Married,Alaska,Gold,workers,Card,0.0,1728.06
268,4/4/2019,151456,Female,,Married,New Mexico,Basic,Unemployment,Card,1.0,2863.62
269,4/4/2019,151457,Female,49.0,Single,Hawaii,Basic,workers,PayPal,1.0,1822.31
270,4/4/2019,151458,Female,77.0,Single,Arizona,Basic,self-employed,Card,0.0,711.52
271,4/5/2019,151459,Male,58.0,Married,California,Platinum,workers,Card,0.0,
272,4/5/2019,151460,Male,28.0,Married,Louisiana,Platinum,workers,PayPal,0.0,
273,4/6/2019,151461,Female,15.0,Married,Arizona,Basic,self-employed,PayPal,1.0,198.48
274,4/6/2019,151462,Female,58.0,Married,Mississippi,Basic,workers,PayPal,1.0,418.28
275,4/6/2019,151463,Male,27.0,Single,Oregon,Silver,workers,PayPal,0.0,913.81
276,4/7/2019,151464,Female,64.0,Married,Massachusetts,Gold,self-employed,PayPal,0.0,
277,4/7/2019,151465,Female,36.0,Married,Texas,Platinum,Employees,Card,0.0,1608.01
278,4/7/2019,151466,Male,43.0,Married,Montana,Basic,Unemployment,PayPal,1.0,2681.13
279,4/7/2019,151467,Female,,Married,Nevada,Basic,self-employed,Card,1.0,2414.29
280,4/7/2019,151468,Female,59.0,Married,Iowa,Gold,Employees,PayPal,0.0,2410.23
281,4/8/2019,151469,Female,73.0,Married,Texas,Basic,workers,PayPal,1.0,63.2
282,4/8/2019,151470,Female,32.0,Married,New York,Gold,Unemployment,Other,,522.24
283,4/8/2019,151471,Female,51.0,Married,South Dakota,Silver,workers,PayPal,1.0,2558.27
284,4/8/2019,151472,Female,51.0,Married,Vermont,Basic,self-employed,Other,1.0,603.47
285,4/9/2019,151473,Female,45.0,Single,Colorado,Silver,Employees,Card,0.0,2790.3
286,4/10/2019,151474,Female,50.0,Married,South Carolina,Platinum,Employees,PayPal,1.0,801.07
287,4/10/2019,151475,Female,56.0,Married,Wyoming,Basic,Employees,PayPal,1.0,250.81
288,4/10/2019,151476,Female,74.0,Married,Florida,Basic,workers,Other,1.0,2076.39
289,4/10/2019,151477,Female,49.0,Married,Oklahoma,Platinum,workers,PayPal,,2692.4
290,4/10/2019,151478,Male,22.0,Single,Pennsylvania,Basic,Employees,PayPal,1.0,2928.57
291,4/11/2019,151479,Female,71.0,Single,Vermont,Platinum,Employees,PayPal,1.0,1707.96
